kind,serv_id,serv_nm,rule,disability_severity,income_pct_max,evidence,source_excerpt
income_unresolved,WLF00000013,독립유공자 의료비 지원,none,,,,독립유공자 의료비 지원 독립유공자 본인과 선순위 유족 및 배우자가 지정 의료기관을 이용시 본인부담금을 지원함으로써 독립유공자에 대한 예우와 함께 건강한 삶을 영위할 수 있도록 함 1) 지원대상 : 시 거주 독립유공자 본인 및 선순위 유족 1인과 세대를 같이하는 배우자2) 선정기준 : 국가보훈부 통보명단에 기준함(의료급여수급권자 제외) 서울특별시 거주 독립유공자(건강보험가입자)*지원대상자 거주지 구청에서 발급된 무료진료증 지참하여 지정 의료기관(약국) 이용시 본인부담금 급여비용 지급 (본인부담금은 시청에서 지정의료기관에 지급)
income_unresolved,WLF00000025,장애인일자리지원,none,unknown,,,"장애인일자리지원 18세 이상 미취업 장애인에게 공공형 일자리를 제공하여 사회참여 확대와 소득보장을 도모합니다. 18세 이상 「장애인복지법」상 등록된 미취업 장애인을 대상으로 합니다.* 일자리 지원 주요직무 : 행정도우미, 전담지원 행정도우미, 복지서비스 지원요원 등 일반형 일자리참여자 선발 기준표 및 지방자치단체 여건에 맞는 기준을 고려하여 우선 선발합니다.(사업참여경력, 장애정도, 소득수준 등을 반영)※ 참여 이력은 장애인일자리사업 모든 유형 및 타 지역 참여 경험을 포함 장애인일자리사업 우수 참여자, 특수학교 및 대학교 졸업예정자 등일 경우 가점으로 반영합니다. 아래 경우에 해당 시, 선발에서 제외합니다. 국민건강보험 직장가입자(피부양자는 제외) ※ 단, 근로계약서 기준으로 신청 당시 직장가입자 중 근로"
income_unresolved,WLF00000035,개발제한구역 거주민 생활비용보조사업,none,,,,"개발제한구역 거주민 생활비용보조사업 개발제한구역 지정으로 생활의 불편을 겪는 구역 내 저소득 주민에게 보전부담금을 재원으로 생활비용을 보조합니다. 다음의 어느 하나에 해당하는 사람으로서 해당 가구의 월평균 소득금액이 도시지역 가구당 월평균 소득 이하인 세대를 대상으로 합니다. 지정당시거주자 지정당시거주자의 자녀 또는 배우자로서 출생 또는 혼인 이후 그와 함께 개발제한구역에서 계속하여 거주한 사람(지정당시거주자인 세대주가 사망한 경우에 한정) * 다만, 자녀 또는 배우자가 다음에 해당하는 경우에는 개발제한구역에서 계속하여 거주한 것으로 봄 - 생업을 목적으로 3년 이하의 기간 동안 개발제한구역 밖에 거주한 경우 - 학업을 목적으로 개발제한구역 밖에 거주한 경우 2025년 지원 기준 개발제한구역 지정당시거주 가"
income_unresolved,WLF00000037,시간제보육 지원,none,,,,"시간제보육 지원 가정 양육 시에도 필요한 때에 필요한 만큼 이용할 수 있는 보육 서비스를 제공하여 자녀 양육에 대한 부담을 경감하고 부모의 보육 서비스 선택권을 보장합니다. 어린이집, 유치원 등을 이용하지 않고 부모급여(현금) 또는 양육수당을 지원받는 영아(6개월 이상 36개월 미만)에게 지원합니다. 독립반 : 6개월~36개월 미만 영아 통합반 : 6개월~2세반* 영아 * 2세반 출생일 기준 : '23.1.1.~'23.12.31.까지 지원대상의 내용을 참고해 주시기 바랍니다."
income_unresolved,WLF00000040,선천성대사이상 검사 및 환아관리,none,unknown,,,"선천성대사이상 검사 및 환아관리 선천성대사이상의 유무를 조기에 발견·치료함으로써 장애발생을 사전에 예방하여 영유아의 건강 증진을 도모합니다. 선천성대사이상 지원대상은 다음과 같습니다. (선별검사) 신생아 선천성 대사이상 외래 선별검사를 받은 영아 (확진검사) 선천성 대사이상 선별검사 결과 유소견 판정 후, 선천성 대사이상 질환 관련 확진검사 결과 선천성대사이상 환아로 판정된 영아 환아관리 지원대상은 다음과 같습니다. 확진검사 결과 선천성대사이상 및 희귀 등 기타 질환으로 진단받아 특수식이 또는 의료비 지원이 필요한, 신청일 기준 만 19세 미만* 환아* 만 나이는 출생월 기준으로 산정하며, 만 19세가 도래한 달까지만 지원 선천성대사이상 검사비 지원내용 및 지원기준은 다음과 같습니다. 신생아 선천성대사이상 "
income_unresolved,WLF00000043,보상금,none,unknown,,,"보상금 독립(국가)유공자, 보훈보상대상자의 생활 안정과 복지 향상을 위하여 보상금을 지원합니다. 다음의 대상자에 대하여 지원합니다. 독립유공자 및 그 선순위 유족 1명 전상군경, 공상군경, 4·19혁명부상자, 특별공로상이자 및 그가 사망한 경우 그 유족 중 선순위자 1명 ※ 2012. 6. 30. 이전 등록한 7급 국가유공자 유족은 상이원인사망 여부에 따라 지급여부 결정, 6급 유족은 상이원인사망 여부에 따라 차등 지급※ 2012. 7. 1.이후(상이원인사망 유족보상금 제도폐지) 등록 또는 재판정신체검사를 신청·판정받은 경우, 7급 유족은 보상금 비대상, 6급 유족은 상이원인사망 여부와 관계없이 6급비상이사망유족 보상금으로 지급 재일학도의용군인 및 그가 사망한 경우 그 유족 중 선순위자 1명 전몰군경, 순직"
income_unresolved,WLF00000044,생활안정자금(융자),none,,,,"생활안정자금(융자) 저소득 노동자, 특수형태근로종사자, 1인 자영업자가 혼례·장예 등 사유 발생 시 필요한 생활자금을 저리로 융자하여 생계안정을 지원하고자 합니다. 융자항목별 신청대상은 다음과 같습니다. (의료비·혼례비·장례비 부모 요양비·자녀 학자금·자녀양육비) &#9312; 신청일 현재 소속 사업장에 3개월 이상 근로중(단, 일용직은 신청일 이전 90일 이내에 고용보험 근로내용 확인신고서에 따른 근로일수가 45일 이상인 경우) &#9313; 월평균 소득이 3인가구 기준 중위소득 2분의 1 이하인 근로자('26년 기준 268만원) * 일용직은 소득요건 비적용 (소액생계비) &#9312; 신청일 현재 소속사업장에 3개월 이상 근로 중(단, 일용직은 신청일 이전 180일 이내에 고용보험 근로내용 확인신고서에 "
income_unresolved,WLF00000057,공공분양,none,,,,"공공분양 저소득층의 주거안정 및 무주택자의 내 집 마련 기회를 제공합니다. 입주자모집공고일 현재 해당 주택건설지역(특별시·광역시·특별자치시·특별자치도 또는 시·군의 행정구역을 말함)에 거주하는 무주택세대구성원으로서 해당 세대의 소득 및 보유자산(토지, 건물 및 자동차)이 국토교통부장관이 정하는 기준 이하인 자 공급유형별로 다음의 소득기준을 충족하여야 합니다. (일반공급) - (전용면적 60㎡ 이하) 공공분양 및 분양전환공공임대주택 : 전년도 도시근로자 가구당 월평균소득 100% 이하 - (그 외 주택) 소득기준 없음※ 해당 연도별 적용 금액은 입주자모집공고문을 참고 (특별공급) - (생애최초 특별공급) 전년도 도시근로자가구 평균소득 130% 이하 ※ 70%를 월평균 소득 100% 이하에 우선 공급 - (신혼"
income_unresolved,WLF00000088,석면피해구제급여,none,,,,"석면피해구제급여 석면으로 인한 건강피해자 및 유족에게 구제급여를 지급하여 건강피해를 신속하고 공정하게 구제합니다. 석면피해(특별유족)인정 신청자 중 환경분쟁조정피해구제위원회에서 석면질병으로 판정을 받은 자를 대상으로 합니다. 석면질병 : 악성중피종, 원발성폐암, 석면폐증, 미만성흉막비후 「석면피해구제법」 시행령 별표 1의 인정기준을 충족한 사람 산재보험 등 타법에 의해 보상을 받은 사람은 제외합니다. 지원대상의 내용을 참고해주시기 바랍니다."
income_unresolved,WLF00000089,다함께 돌봄 사업,none,,,,"다함께 돌봄 사업 지역 중심의 맞춤형 돌봄 서비스를 제공하여 돌봄사각지대를 해소하고 맞벌이 가구 등의 육아부담을 경감합니다. 돌봄이 필요한 6~12세 아동을 대상으로 합니다. 소득수준과 무관 이용료 수납한도액 : 아동 1인당 월 10만원 이내(프로그램 활동비, 현장학습비 등) * 외부인력에 의해 센터 내외에서 이루어지는 특별활동 프로그램 운영 시 월 10만원 한도 초과하여 프로그램별 이용료 수납 가능 ** 급·간식을 제공할 경우에는 월 10만원 이외 별도 수익자 부담 추가 가능 각 지방자치단체(센터별)는 지역여건에 따라 이용 우선순위를 정할 수 있습니다. * 예시: 다자녀 가정, 맞벌이 가정, 초등학교 저학년 가정 등"
