# cb.cb_institutions.required_documents_ai 스냅샷 (DB 현재 상태, 서류 1개 = 1행). confidence/note는 배치 실행 중에만 존재해 DB에 없다. 재생성: python scripts/dump_required_documents.py
serv_id,serv_nm,source,generated_at,doc_no,document,url,url_type,n_docs,provision_type,n_basfrm,apply_method_head
WLF00000024,아이돌봄서비스,basfrm,2026-07-28T13:23:55.594458+00:00,1,사회보장급여 신청서,https://bokjiro.go.kr/ssis-tbu/CmmFileUtil/getDownload.do?atcflId=20260325UUWBM1356560182126744&atcflSn=1,form_download,5,기타,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 읍면동 주민센터 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 읍면동 주민센터에서 조사 및 심사 결정기관연락처목록"
WLF00000024,아이돌봄서비스,basfrm,2026-07-28T13:23:55.594458+00:00,2,신분증,,,5,기타,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 읍면동 주민센터 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 읍면동 주민센터에서 조사 및 심사 결정기관연락처목록"
WLF00000024,아이돌봄서비스,basfrm,2026-07-28T13:23:55.594458+00:00,3,주민등록등본,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13100000015,certificate_issuance,5,기타,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 읍면동 주민센터 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 읍면동 주민센터에서 조사 및 심사 결정기관연락처목록"
WLF00000024,아이돌봄서비스,basfrm,2026-07-28T13:23:55.594458+00:00,4,소득금액증명원,https://www.hometax.go.kr,certificate_issuance,5,기타,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 읍면동 주민센터 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 읍면동 주민센터에서 조사 및 심사 결정기관연락처목록"
WLF00000024,아이돌봄서비스,basfrm,2026-07-28T13:23:55.594458+00:00,5,장애인등록증,https://www.gov.kr,certificate_issuance,5,기타,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 읍면동 주민센터 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 읍면동 주민센터에서 조사 및 심사 결정기관연락처목록"
WLF00000025,장애인일자리지원,basfrm,2026-07-28T13:23:55.594458+00:00,1,장애인일자리사업 참여신청서,https://bokjiro.go.kr/ssis-tbu/CmmFileUtil/getDownload.do?atcflId=2455GOWF12GOWF122455&atcflSn=1,form_download,5,현금지급,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 시군구에서 조사 및 심사 결정기관연락처목록: 담당 시/군/구청 또는 시군구에서 보장 결정 지급기관"
WLF00000025,장애인일자리지원,basfrm,2026-07-28T13:23:55.594458+00:00,2,개인정보 수집·이용 동의서,,,5,현금지급,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 시군구에서 조사 및 심사 결정기관연락처목록: 담당 시/군/구청 또는 시군구에서 보장 결정 지급기관"
WLF00000025,장애인일자리지원,basfrm,2026-07-28T13:23:55.594458+00:00,3,신분증,,,5,현금지급,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 시군구에서 조사 및 심사 결정기관연락처목록: 담당 시/군/구청 또는 시군구에서 보장 결정 지급기관"
WLF00000025,장애인일자리지원,basfrm,2026-07-28T13:23:55.594458+00:00,4,장애인등록증,https://www.gov.kr,certificate_issuance,5,현금지급,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 시군구에서 조사 및 심사 결정기관연락처목록: 담당 시/군/구청 또는 시군구에서 보장 결정 지급기관"
WLF00000025,장애인일자리지원,basfrm,2026-07-28T13:23:55.594458+00:00,5,소득금액증명원,https://www.hometax.go.kr,certificate_issuance,5,현금지급,3,"신청기관연락처목록: 거주지 읍/면/동 주민센터, 시군구에서 ‘서비스 신청’ 조사기관연락처목록: 담당 시/군/구청 또는 시군구에서 조사 및 심사 결정기관연락처목록: 담당 시/군/구청 또는 시군구에서 보장 결정 지급기관"
